"id";"nome";"endereco_id"
1;"Escola 1";1
2;"Escola 2";2
3;"Escola 3";3
4;"Escola 4";4
5;"Escola 5";5
6;"7 DE SETEMBRO EMEI
                    ";31
7;"ABADS ESCOLA DE EDUCACAO ESPECIAL
                    ";32
8;"ABELARDO GALDINO PINTO PIOLIN EMEI
                    ";33
9;"ACADEMIA DE MUSICA DA OSESP
                    ";34
10;"ACADEMIA INTERNACIONAL DE CINEMA
                    ";35
11;"ACM  CASA VERDE
                    ";36
12;"ADELAIDE LOPES RODRIGUES CRECHE MUNICIPAL
                    ";37
13;"ADOLPHO OTTO DE LAET PROFESSOR EMEF
                    ";38
14;"AFRANIO PEIXOTO
                    ";39
15;"ALARICO SILVEIRA DOUTOR
                    ";40
16;"ALBERT EINSTEIN ETIEP UNIDADE II
                    ";41
17;"ALCEU MAYNARD ARAUJO PROFESSOR EMEI
                    ";42
18;"ALEGRIA
                    ";43
19;"ALFREDO CASTRO DOUTOR COLEGIO
                    ";44
20;"AMORIM SANTA TERESA COLEGIO
                    ";45
21;"ANCHIETA PADRE
                    ";46
22;"ANDRE NUNES JUNIOR VEREADOR CRECHE
                    ";47
23;"ANESIA SINCORA PROFESSORA
                    ";48
24;"ANEU GARANHANI CENTRO DE EDUCACAO INFANTIL
                    ";49
25;"ANGELINA MADUREIRA PROFESSORA
                    ";50
26;"ANGELINA MAFFEI VITA DONA EMEF
                    ";51
27;"ANIBAL DI FRANCIA CRECHE
                    ";52
28;"ANIS AIDAR DOUTOR CEI INDIRETO
                    ";53
29;"ANITA CASTALDI ZAMPIROLLO CRECHE MUNICIPAL
                    ";54
30;"ANTAO FERNANDES MAESTRO COLEGIO
                    ";55
31;"ANTOINE DE SAINT EXUPERY
                    ";56
32;"ANTONIA MUOTRI LAMBERGA CRECHE MUNICIPAL
                    ";57
33;"ANTONIO CALLADO EMEI
                    ";58
34;"ANTONIO FIGUEIREDO AMARAL EMEI
                    ";59
35;"ANTONIO FIRMINO DE PROENCA PROF
                    ";60
36;"ANTONIO LISBOA PROFESSOR
                    ";61
37;"ANTONIO PRADO CONSELHEIRO
                    ";62
38;"ANTONIO SAMPAIO VEREADOR EMEFM
                    ";63
39;"ANTONIO VIEIRA PADRE
                    ";64
40;"APROCIMA
                    ";65
41;"AQUARELA BIASI
                    ";66
42;"AQUARELLA ESC DE EDUC INFANTIL E FUNDAMENTAL
                    ";67
43;"ARMANDO DE ARRUDA PEREIRA EMEI
                    ";68
44;"AROLDO DE AZEVEDO PROFESSOR EMEF
                    ";69
45;"ARTHUR ETZEL EMEI
                    ";70
46;"ARTHUR GUIMARAES
                    ";71
47;"ARTHUR GUIMARAES CL HOSP PAV FERNANDINHO STA CASA
                    ";72
48;"ARY BARROSO
                    ";73
49;"AUGUSTO MEIRELLES REIS FILHO PROFESSOR
                    ";74
50;"AUGUSTO RAMOS COLEGIO
                    ";75
51;"BABY CLUB ? CLUBE DO MICKEY
                    ";76
52;"BAKHITA ESCOLA
                    ";77
53;"BATISTA
                    ";78
54;"BATISTA BRASILEIRO COLEGIO
                    ";79
55;"BEIT YAACOV ESCOLA
                    ";80
56;"BENEDITO TOLOSA PROFESSOR
                    ";81
57;"BERCARIO CONCEITO
                    ";82
58;"BETTY LAFER CRECHE
                    ";83
59;"BOM RETIRO CEI INDIRETA
                    ";84
60;"BOM RETIRO COLEGIO
                    ";85
61;"BONI CONSILII INSTITUTO EDUCACAO
                    ";86
62;"BRASIL CANADA COLEGIO
                    ";87
63;"BRASILEIRO ISLAMICO COLEGIO
                    ";53
64;"BRINCANDO E CRIANDO ESCOLA DE RECREACAO E ED INFANTIL
                    ";88
65;"BUENOS AIRES
                    ";89
66;"BUILDERS EDUCACAO BILINGUE
                    ";90
67;"CABANINHA CENTRO DE RECREACAO INFANTIL
                    ";91
68;"CAETANO DE CAMPOS CONSOLACAO
                    ";92
69;"CAMARA MUNICIPAL DE SAO PAULO CCI
                    ";93
70;"CAMINHANDO COLEGIO
                    ";94
71;"CAMPOS ELISEOS I CENTRO DE EDUCACAO INFANTIL
                    ";95
72;"CANGURU SAPECA ESCOLA EDUCACAO INFANTIL
                    ";73
73;"CANUTO DO VAL
                    ";96
74;"CARINHA SUJA BERCARIO E EDUCACAO INFANTIL
                    ";97
75;"CARLITOS ESCOLA UNIDADE I
                    ";98
76;"CARLITOS ESCOLA UNIDADE II
                    ";99
77;"CARVALHO MONTEIRO CENTRO EDUCACIONAL
                    ";100
78;"CASA DA SOLIDARIEDADE I
                    ";101
79;"CASA DA SOLIDARIEDADE II
                    ";102
80;"CASA DE APRENDIZAGENS  ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL
                    ";103
81;"CASA DE SAO JOSE
                    ";104
82;"CASA DOM GASTAO CRECHE
                    ";105
83;"CASIMIRO DE ABREU
                    ";106
84;"CASPER LIBERO EMEI
                    ";107
85;"CATAVENTO ESCOLA
                    ";108
86;"CEI  MENINO DE LATA
                    ";109
87;"CEI ABRINDO O SABER
                    ";110
88;"CEI AVIADOR WLADISLAU WIAZOWSKI
                    ";111
89;"CEI CASTILHO IV
                    ";112
90;"CEI CRIANCA FELIZ
                    ";113
91;"CEI FILHOS DO REI
                    ";114
92;"CEI GRAO DE GENTE II
                    ";115
93;"CEI JERICO
                    ";62
94;"CEI OLGA LOPES MALAGRINE
                    ";116
95;"CEI PROFESSORA IVANI CATARINA ARANTES FAZENDA
                    ";117
96;"CEL JTO A EE BUENOS AIRES
                    ";89
97;"CEL JTO A EE MAURO DE OLIVEIRA PROFESSOR
                    ";118
98;"CEMAH
                    ";119
99;"CENTENARIO COLEGIO
                    ";120
100;"CENTRO ATEND SOCIOED ADOLESC FEMININO BOM RETIRO  CASA FEMININO BOM RETIRO CI
                    ";121
101;"CENTRO DE ATEND SOCIO EDUC AO ADOLESC RUTH PISTORI CIP
                    ";122
102;"CENTRO DE ATEND SOCIOED AO ADOLESCENTE RIO TOCANTINS CIP
                    ";123
103;"CENTRO DE ATEND SOCIOED AO ADOLESCENTE RIO TURIASSU  CIP
                    ";123
104;"CENTRO DE ATEND SOCIOEDC AO ADOLESCENTE RIO TAMISA CI 36
                    ";121
105;"CENTRO DE ATEND SOCIOEDUC AO ADOLESCENTE ITAPARICA  CIP6
                    ";121
106;"CENTRO DE ATEND SOCIOEDUC AO ADOLESCENTE RIO PARANA CI
                    ";121
107;"CENTRO DE ATEND SOCIOEDUC AO ADOLESCENTE TOPAZIO CI
                    ";124
108;"CENTRO DE ATENDIMENTO SOCIOEDUCATIVO AO ADOLESCENTE JUQUIA ? CASA JUQUIA CI
                    ";121
109;"CENTRO DE EDUCACAO INFANTIL ANA MARIA MACHADO
                    ";125
110;"CENTRO DE EDUCACAO INFANTIL APRENDER E CRESCER
                    ";126
111;"CENTRO DE EDUCACAO INFANTIL DIAMANTES
                    ";127
112;"CENTRO DE EDUCACAO INFANTIL EDUCADOR PAULO FREIRE
                    ";128
113;"CENTRO DE EDUCACAO INFANTIL JOSEPHINA SANTOS MAIA
                    ";129
114;"CENTRO DE EDUCACAO INFANTIL LUZ DA ESPERANCA
                    ";130
115;"CENTRO DE EDUCACAO INFANTIL LYGIA FAGUNDES TELLES
                    ";131
116;"CENTRO DE EDUCACAO INFANTIL NOSSA SENHORA DA PAZ
                    ";132
117;"CENTRO DE EDUCACAO INFANTIL PEQUENOS SONHADORES
                    ";133
118;"CENTRO DE EDUCACAO INFANTIL SAO MIGUEL
                    ";134
119;"CENTRO DE EDUCACAO INFANTIL VOVO ISAURA
                    ";135
120;"CENTRO DE ENSINO GRAU TECNICO  UNIDADE ANHANGABAU
                    ";136
121;"CENTRO DE ENSINO GRAU TECNICO  UNIDADE BRAS
                    ";137
122;"CENTRO DE RECREACAO INFANTIL E ENS FUND I URSINHO CARINHOSO
                    ";138
123;"CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE SAO PAULO
                    ";139
124;"CENTRO SOCIAL DA CRIANCA CRECHE
                    ";140
125;"CENTRO SOCIAL SAO JOSE
                    ";141
126;"CLARET CRECHE
                    ";142
127;"CLARETIANO  COLEGIO
                    ";142
